date,2020,2021,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
12-11,58.5,14.6,27.2,,14.6,17.2,22.2,39.7,52.3,58.5,27.2
12-12,58.4,14.7,26.9,,14.7,17.1,22.0,39.5,52.1,58.4,26.9
12-13,58.5,14.8,27.3,,14.8,17.3,22.3,39.8,52.3,58.5,27.3
12-14,58.3,14.5,27.6,,14.5,17.1,22.4,39.9,52.2,58.3,27.6
12-15,58.7,14.5,27.6,,14.5,17.1,22.4,40.0,52.5,58.7,27.6
12-16,58.9,14.5,28.1,,14.5,17.2,22.7,40.4,52.7,58.9,28.1
12-17,58.9,14.9,28.0,,14.9,17.5,22.8,40.3,52.7,58.9,28.0
12-18,59.0,14.6,28.0,,14.6,17.3,22.6,40.4,52.8,59.0,28.0
12-19,58.9,14.4,28.1,,14.4,17.2,22.6,40.4,52.7,58.9,28.1
12-20,58.9,14.6,28.4,,14.6,17.4,22.9,40.6,52.8,58.9,28.4
12-21,59.5,14.5,28.6,,14.5,17.3,23.0,40.9,53.3,59.5,28.6
12-22,59.5,14.3,28.5,,14.3,17.2,22.8,40.9,53.3,59.5,28.5
12-23,59.2,14.6,28.7,,14.6,17.4,23.1,40.9,53.1,59.2,28.7
12-24,59.5,14.8,28.7,,14.8,17.6,23.1,41.0,53.4,59.5,28.7
12-25,59.4,14.4,29.0,,14.4,17.4,23.2,41.2,53.3,59.4,29.0
12-26,59.8,14.5,28.9,,14.5,17.4,23.1,41.3,53.6,59.8,28.9
12-27,59.6,14.3,28.8,,14.3,17.2,23.0,41.1,53.4,59.6,28.8
12-28,59.6,14.9,29.1,,14.9,17.7,23.4,41.3,53.5,59.6,29.1
12-29,59.7,14.9,29.2,,14.9,17.8,23.5,41.4,53.6,59.7,29.2
12-30,60.0,14.7,29.1,,14.7,17.6,23.4,41.5,53.8,60.0,29.1
12-31,60.0,14.6,29.7,,14.6,17.6,23.6,41.8,53.9,60.0,29.7
01-01,60.4,14.8,29.6,,14.8,17.8,23.7,41.9,54.2,60.4,29.6
01-02,60.1,14.8,29.9,,14.8,17.8,23.9,42.0,54.1,60.1,29.9
01-03,60.2,14.8,29.9,,14.8,17.8,23.9,42.0,54.1,60.2,29.9
01-04,60.6,14.9,30.0,,14.9,17.9,23.9,42.2,54.5,60.6,30.0
01-05,60.7,14.4,30.0,,14.4,17.6,23.8,42.3,54.5,60.7,30.0
01-06,60.6,15.0,30.0,,15.0,18.0,24.0,42.3,54.5,60.6,30.0
01-07,60.8,14.8,30.4,,14.8,17.9,24.1,42.5,54.7,60.8,30.4
01-08,60.7,14.6,30.1,,14.6,17.7,23.9,42.3,54.6,60.7,30.1
01-09,60.8,14.4,30.3,,14.4,17.6,24.0,42.5,54.7,60.8,30.3
01-10,61.0,15.0,30.3,,15.0,18.1,24.2,42.6,54.8,61.0,30.3
01-11,60.8,14.9,30.5,,14.9,18.0,24.3,42.6,54.8,60.8,30.5
01-12,61.0,14.4,30.7,,14.4,17.7,24.2,42.8,54.9,61.0,30.7
01-13,60.9,14.9,30.8,,14.9,18.0,24.4,42.8,54.8,60.9,30.8
01-14,61.3,14.4,30.8,,14.4,17.7,24.2,43.0,55.2,61.3,30.8
01-15,61.3,14.8,31.1,,14.8,18.1,24.6,43.1,55.2,61.3,31.1
01-16,61.5,14.7,31.2,,14.7,18.0,24.6,43.3,55.4,61.5,31.2
01-17,61.5,14.8,31.5,,14.8,18.1,24.8,43.5,55.5,61.5,31.5
01-18,61.5,14.6,31.7,,14.6,18.1,24.9,43.7,55.6,61.5,31.7
01-19,61.6,14.6,32.1,,14.6,18.1,25.1,43.9,55.7,61.6,32.1
01-20,61.7,14.8,32.5,,14.8,18.4,25.5,44.2,55.9,61.7,32.5
01-21,61.6,14.9,33.2,,14.9,18.5,25.9,44.6,55.9,61.6,33.2
01-22,61.9,14.7,33.6,,14.7,18.5,26.1,44.9,56.2,61.9,33.6
01-23,61.9,15.1,34.1,,15.1,18.9,26.5,45.2,56.4,61.9,34.1
01-24,62.1,15.0,34.3,,15.0,18.9,26.6,45.4,56.6,62.1,34.3
01-25,62.1,14.6,35.1,,14.6,18.7,26.9,45.9,56.7,62.1,35.1
01-26,62.1,15.0,35.0,,15.0,19.0,27.0,45.9,56.7,62.1,35.0
01-27,62.3,14.8,35.4,,14.8,18.9,27.2,46.2,56.9,62.3,35.4
01-28,62.3,14.6,35.6,,14.6,18.8,27.2,46.3,57.0,62.3,35.6
01-29,62.5,15.3,35.4,,15.3,19.4,27.4,46.3,57.1,62.5,35.4
01-30,62.5,14.8,36.2,,14.8,19.1,27.6,46.7,57.2,62.5,36.2
01-31,62.4,14.7,36.3,,14.7,19.0,27.6,46.7,57.2,62.4,36.3
02-01,62.7,15.0,36.9,,15.0,19.4,28.2,47.2,57.6,62.7,36.9
02-02,62.6,15.0,37.2,,15.0,19.5,28.3,47.4,57.6,62.6,37.2
02-03,62.9,14.9,37.4,,14.9,19.4,28.4,47.6,57.8,62.9,37.4
02-04,62.7,15.2,37.4,,15.2,19.6,28.5,47.5,57.7,62.7,37.4
02-05,62.9,14.7,37.6,,14.7,19.3,28.5,47.7,57.8,62.9,37.6
02-06,62.9,14.9,38.1,,14.9,19.5,28.8,48.0,58.0,62.9,38.1
02-07,63.0,14.6,38.0,,14.6,19.2,28.6,48.0,58.0,63.0,38.0
02-08,63.0,15.0,38.4,,15.0,19.7,29.0,48.2,58.1,63.0,38.4
02-09,63.2,14.5,38.7,,14.5,19.4,29.0,48.5,58.3,63.2,38.7
02-10,63.1,14.9,39.1,,14.9,19.7,29.4,48.7,58.3,63.1,39.1
02-11,63.0,15.3,39.4,,15.3,20.1,29.8,48.8,58.3,63.0,39.4
02-12,63.2,15.0,39.2,,15.0,19.9,29.5,48.8,58.4,63.2,39.2
02-13,63.3,15.3,39.4,,15.3,20.1,29.7,48.9,58.5,63.3,39.4
02-14,63.1,14.8,39.8,,14.8,19.8,29.8,49.1,58.4,63.1,39.8
02-15,63.1,15.2,39.7,,15.2,20.1,29.9,49.1,58.4,63.1,39.7
02-16,63.1,15.1,40.2,,15.1,20.1,30.1,49.3,58.5,63.1,40.2
02-17,63.1,15.3,40.0,,15.3,20.3,30.1,49.3,58.5,63.1,40.0
02-18,63.0,15.3,40.0,,15.3,20.2,30.1,49.2,58.4,63.0,40.0
02-19,63.0,15.1,40.2,,15.1,20.2,30.2,49.3,58.4,63.0,40.2
