date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
12-15,14.0,31.4,10.5,7.3,17.6,18.5,16.2,22.6,35.3,15.7,15.2,35.0,30.5,26.9,10.2,15.3,10.6,11.3,,7.3,10.4,14.1,22.1,32.4,35.3,16.0
12-16,12.9,18.7,16.1,9.3,28.3,7.8,18.7,19.8,34.0,22.2,13.3,25.6,27.4,27.5,8.2,20.8,15.6,6.3,,6.3,8.0,13.5,22.1,27.7,34.0,18.7
12-17,14.6,13.1,18.5,7.4,26.8,12.2,25.8,24.4,31.8,22.7,14.1,6.0,20.7,28.5,14.9,21.6,13.3,12.3,,6.0,10.8,13.4,22.6,27.3,31.8,16.7
12-18,19.0,8.2,20.1,16.8,18.7,25.0,28.1,17.6,30.6,19.4,22.3,2.4,30.0,31.3,18.8,18.4,16.3,16.0,,2.4,13.7,17.7,22.1,30.2,31.3,18.9
12-19,28.5,17.0,24.4,12.0,22.3,30.3,23.1,6.3,27.1,21.0,22.2,16.7,29.0,27.9,19.8,21.6,22.9,16.8,,6.3,15.3,20.0,24.3,28.7,30.3,22.2
12-20,31.8,21.2,22.6,7.5,27.8,24.2,21.7,10.4,16.9,25.2,24.1,27.4,26.2,27.2,22.7,30.1,25.3,21.0,,7.5,14.9,21.8,26.1,28.5,31.8,24.1
12-21,32.6,21.6,11.0,16.0,22.7,24.8,18.0,14.0,20.2,30.9,22.5,26.2,17.8,30.3,27.4,32.3,25.9,21.9,,11.0,15.4,20.3,26.2,31.3,32.6,22.6
12-22,36.1,21.3,13.7,17.0,21.6,29.1,14.1,18.7,21.3,24.8,23.6,23.7,23.4,16.9,28.9,20.1,27.5,11.4,,11.4,14.0,18.8,23.7,29.0,36.1,21.4
12-23,31.2,18.6,22.5,8.2,18.7,26.1,24.3,23.8,28.6,15.7,14.2,21.7,21.5,22.6,28.1,11.1,28.3,20.4,,8.2,13.2,18.9,24.2,28.4,31.2,22.1
12-24,33.3,19.4,21.5,9.1,14.8,19.9,27.6,19.4,23.9,21.9,9.6,26.5,22.5,24.0,26.1,19.4,25.6,28.6,,9.1,13.2,19.5,25.5,27.9,33.3,22.2
12-25,32.1,24.4,8.3,17.0,13.3,22.5,28.8,11.0,23.9,17.0,11.1,15.6,27.6,24.3,22.1,24.9,23.5,31.7,,8.3,11.1,17.0,24.3,29.6,32.1,23.0
